"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link","address"
"917","Father Tolton","Volleyball Girls","57","Varsity","9/23","7:15 pm","","Eldon","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=917&alg=57&comp=2713683","112 S Pine St, Eldon, MO 65026-1594"
"80","Fulton High School","Softball Fall Season","38","Varsity","9/23","4:30 pm","","Warrenton","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=80&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=80&alg=38&comp=2663131","803 Pinckney, Warrenton, MO 63383-2335"
"80","Fulton High School","Volleyball Girls","57","Varsity","9/23","6:30 pm","","New Bloomfield","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=80&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=80&alg=57&comp=2642116","307 Redwood Dr, New Bloomfield, MO 65063"
"302","Glasgow High School","Golf Girls","24","Varsity","9/23","","","Salisbury Invitational","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=302&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=302&alg=24&tournament=585178",""
"311","Hallsville High School","Golf Girls","24","Varsity","9/23","","","Blair Oaks Tri","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=311&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=311&alg=24&tournament=581717","Jefferson City, MO"
"311","Hallsville High School","Volleyball Girls","57","Varsity","9/23","6:00 pm","","Smith-Cotton","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=311&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=311&alg=57&comp=2644223","2010 Tiger Pride Blvd, Sedalia, MO 65301-8503"
"313","Harrisburg High School","Golf Girls","24","Varsity","9/23","4:00 pm","","Eugene Quad","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=313&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=313&alg=24&tournament=543828","Eugene, MO"
"313","Harrisburg High School","Golf Girls","24","Varsity","⤷ 9/23","TBD","","Eugene","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=313&alg=24","https://www.mshsaa.org/MySchool/Matchup.aspx?s=313&alg=24&comp=2649904","801 S Harris St, Harrisburg, MO 65256-9542"
"313","Harrisburg High School","Golf Girls","24","Varsity","⤷ 9/23","TBD","","Harrisburg","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=313&alg=24","https://www.mshsaa.org/MySchool/Matchup.aspx?s=313&alg=24&comp=2649905","801 S Harris St, Harrisburg, MO 65256-9542"
"313","Harrisburg High School","Softball Fall Season","38","Varsity","9/23","5:00 pm","","New Bloomfield","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=313&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=313&alg=38&comp=2707573","801 S Harris St, Harrisburg, MO 65256-9542"
